ImageId,URL,x1,y1,x2,y2,TrueLabel,TargetClass,OriginalLandingURL,License,Author,AuthorProfileURL
0c7ac4a8c9dfa802,https://c1.staticflickr.com/9/8540/28821627444_0524012bdd_o.jpg,0,0,0.871838111,1,306,779,https://www.flickr.com/photos/gails_pictures/28821627444,https://creativecommons.org/licenses/by/2.0/,gailhampshire,https://www.flickr.com/people/gails_pictures/
328d99215b19c8c7,https://c1.staticflickr.com/1/662/32533031665_e6c123d8eb_o.jpg,0.5,0,1,0.75,806,926,https://www.flickr.com/photos/30478819@N08/32533031665,https://creativecommons.org/licenses/by/2.0/,Marco Verch,https://www.flickr.com/people/30478819@N08/
b0e0e06e647b478f,https://c1.staticflickr.com/6/5769/29834734204_b8897fa3f7_o.jpg,0,0,1,0.751173709,484,915,https://www.flickr.com/photos/sky_hlv/29834734204,https://creativecommons.org/licenses/by/2.0/,Jose A.,https://www.flickr.com/people/sky_hlv/
fe1314dd6f75551d,https://c1.staticflickr.com/8/7144/26370391824_3159ca42b2_o.jpg,0,0.25,0.75,1,921,565,https://www.flickr.com/photos/brendanadkins/26370391824,https://creativecommons.org/licenses/by/2.0/,Brendan Adkins,https://www.flickr.com/people/brendanadkins/
a187afb98f295057,https://c1.staticflickr.com/1/319/31741319460_db1f31d4b9_o.jpg,0,0,0.5625,0.75,121,755,https://www.flickr.com/photos/jsjgeology/31741319460,https://creativecommons.org/licenses/by/2.0/,James St. John,https://www.flickr.com/people/jsjgeology/
17cfccd62451a233,https://c1.staticflickr.com/8/7005/27391093362_0c39bc1805_o.jpg,0.25,0.25,1,1,966,571,https://www.flickr.com/photos/rjbailey/27391093362/,https://creativecommons.org/licenses/by/2.0/,Ron Bailey,https://www.flickr.com/people/rjbailey/
21554e755b9706d2,https://c1.staticflickr.com/1/641/32391235981_071803d033_o.jpg,0,0,0.75,0.529210926,342,76,https://www.flickr.com/photos/ilri/32391235981,https://creativecommons.org/licenses/by/2.0/,ILRI,https://www.flickr.com/people/ilri/
fff35cdcce3cde43,https://c1.staticflickr.com/9/8463/29106205880_18aa360993_o.jpg,0,0,0.5,0.75,913,409,https://www.flickr.com/photos/davebloggs007/29106205880,https://creativecommons.org/licenses/by/2.0/,Thank you for visiting my page,https://www.flickr.com/people/davebloggs007/
04546cc5e537d7cd,https://c1.staticflickr.com/8/7347/27291550531_ee40bdf58a_o.jpg,0,0,0.495594714,0.75,426,649,https://www.flickr.com/photos/kansasscanner/27291550531/,https://creativecommons.org/licenses/by/2.0/,Tyler Silvest,https://www.flickr.com/people/kansasscanner/
059da9a174262427,https://c1.staticflickr.com/8/7529/26612408253_d5156925ff_o.jpg,0,0.25,0.521428571,1,254,630,https://www.flickr.com/photos/70253321@N00/26612408253/,https://creativecommons.org/licenses/by/2.0/,fugzu,https://www.flickr.com/people/70253321@N00/
